name,price,image_url
Essential Tee,$25,https://img.abercrombie.com/is/image/anf/KIC_124-3725-1296-908_model1?policy=product-medium
Essential Popover Hoodie,$60,https://img.abercrombie.com/is/image/anf/KIC_122-3572-1296-900_prod1?policy=product-medium
Essential Sweatpant,$60,https://img.abercrombie.com/is/image/anf/KIC_134-3029-1046-900_model1?policy=product-medium
Essential Jogger,$60,https://img.abercrombie.com/is/image/anf/KIC_134-3048-1050-900_model1?policy=product-medium
Essential Open-Hem Sweatpant,$60,https://img.abercrombie.com/is/image/anf/KIC_134-4076-0008-900_model1?policy=product-medium
Baggy Workwear Pant,$100,https://img.abercrombie.com/is/image/anf/KIC_130-3067-1205-336_life1?policy=product-medium
Loose Jean,$80,https://img.abercrombie.com/is/image/anf/KIC_131-2004-2476-280_life1?policy=product-medium
Premium Heavyweight Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_124-3087-1326-900_model1?policy=product-medium
Essential Tee,$19,https://img.abercrombie.com/is/image/anf/KIC_124-1621-0897-100_model1?policy=product-medium
Camp Collar Summer Linen-Blend Embroidered Shirt,$80,https://img.abercrombie.com/is/image/anf/KIC_125-4012-0039-908_prod1?policy=product-medium
Linen-Blend Pull-On Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4062-0066-918_model1?policy=product-medium
Camp Collar Summer Linen-Blend Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4053-0047-900_model1?policy=product-medium
Athletic Straight Jean,$80,https://img.abercrombie.com/is/image/anf/KIC_131-2418-2416-276_model1?policy=product-medium
Athletic Loose Linen-Blend Fixed Waist Pant,$80,https://img.abercrombie.com/is/image/anf/KIC_130-4072-0003-900_prod1?policy=product-medium
Essential Tee,$19,https://img.abercrombie.com/is/image/anf/KIC_124-1681-1007-900_model1?policy=product-medium
Baggy Workwear Pant,$90,https://img.abercrombie.com/is/image/anf/KIC_130-4053-00051-330_model1?policy=product-medium
Essential Ribbed High-Neck Tank,$19,https://img.abercrombie.com/is/image/anf/KIC_124-4185-0002-900_model1?policy=product-medium
Classic Polished Tee,$19,https://img.abercrombie.com/is/image/anf/KIC_124-4009-0136-900_model1?policy=product-medium
Baggy Workwear Jean,$90,https://img.abercrombie.com/is/image/anf/KIC_131-4126-0092-420_prod1?policy=product-medium
Crochet-Style Floral Button-Through Sweater Polo,$100,https://img.abercrombie.com/is/image/anf/KIC_120-4116-0201-150_model1?policy=product-medium
Athletic Straight Jean,$80,https://img.abercrombie.com/is/image/anf/KIC_131-3159-2542-280_model1?policy=product-medium
90s Straight Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Premium Polished Micro-Logo Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
90s Straight Jean,$79,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Loose Workwear Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
90s Straight Modern Chino,$70,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Straight Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Olympics Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Linen Button-Up Shirt,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Linen-Blend Pull-On Pant,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
